Date,High GSPC,Low GSPC,Volume GSPC,High DJI,Low DJI,Volume DJI,EUR/USD High,EUR/USD Low,bitcoin_price_usd,bitcoin_volume_usd,bitcoin_pumped,bitcoin_price_more_avg,bitcoin_volume_more_avg
2017-02-01,2289.139893,2272.439941,3916610000,19967.730469,19845.990234,426670000,1.08074,1.07323,977.728666667,172815380.952,0,-1,-1
2017-02-02,2283.969971,2271.649902,3807710000,19922.75,19831.089844,347220000,1.08287,1.07561,992.780625,131377708.333,0,-1,-1
2017-02-03,2298.310059,2287.879883,3597970000,20081.480469,19964.210938,344220000,1.07976,1.07121,1022.6975,182367083.333,0,-1,-1
2017-02-06,2296.179932,2288.570068,3109050000,20094.949219,20002.810547,281720000,1.07986,1.0706,1035.98458333,114459708.333,0,-1,-1
2017-02-07,2299.399902,2290.159912,3448690000,20155.349609,20068.679688,279670000,1.075,1.06563,1051.74625,126434541.667,0,-1,-1
2017-02-08,2295.909912,2285.379883,3609740000,20068.279297,20015.330078,280410000,1.07141,1.06407,1062.44041667,174279958.333,0,-1,-1
2017-02-09,2311.080078,2296.610107,3677940000,20206.359375,20061.730469,325310000,1.07095,1.06511,1043.99875,242571208.333,0,-1,-1
2017-02-10,2319.22998,2311.100098,3475020000,20298.210938,20204.759766,312230000,1.0668,1.06079,972.673083333,345097291.667,0,-1,-1
2017-02-13,2331.580078,2321.419922,3349730000,20441.480469,20322.949219,314620000,1.06584,1.05921,995.103416667,75614950,0,-1,-1
2017-02-14,2337.580078,2322.169922,3520910000,20504.410156,20374.019531,356580000,1.06334,1.0561,999.507291667,112739462.5,0,-1,-1
2017-02-15,2351.300049,2334.810059,3775590000,20620.449219,20496.029297,384380000,1.06092,1.05217,1005.08916667,114677416.667,0,-1,-1
2017-02-16,2351.310059,2338.870117,3672370000,20639.869141,20556.830078,354120000,1.06792,1.05909,1018.25333333,96952687.5,0,-1,-1
2017-02-17,2351.159912,2339.580078,3513060000,20624.050781,20532.609375,340620000,1.06764,1.06056,1036.69125,123755625,0,-1,-1
2017-02-21,2366.709961,2354.909912,3579780000,20757.640625,20663.369141,336880000,1.0616,1.05259,1088.45458333,138552404.167,0,-1,-1
2017-02-22,2365.129883,2358.340088,3468670000,20781.589844,20692.390625,310530000,1.05724,1.04937,1111.02333333,165147291.667,0,-1,-1
2017-02-23,2368.26001,2355.090088,4015260000,20840.699219,20746.410156,302110000,1.05954,1.05377,1131.87333333,136735125,0,-1,-1
2017-02-24,2367.340088,2352.870117,3831570000,20821.759766,20733.949219,292540000,1.06178,1.05574,1174.30708333,281042125,0,-1,-1
2017-02-27,2371.540039,2361.870117,3582610000,20851.330078,20774.759766,256540000,1.06307,1.05518,1170.72625,114642041.667,0,-1,-1
2017-02-28,2367.790039,2358.959961,4210140000,20841.240234,20781.210938,339210000,1.063,1.05688,1179.85916667,159449041.667,0,-1,-1
2017-03-01,2400.97998,2380.129883,4345180000,21169.109375,20957.289063,392820000,1.05891,1.05146,1192.38291667,163896833.333,0,-1,-1
2017-03-02,2394.75,2380.169922,3821320000,21129.199219,20996.609375,319910000,1.0551,1.04951,1229.45291667,262585708.333,0,-1,-1
2017-03-03,2383.889893,2375.389893,3555260000,21039.960938,20953.859375,254420000,1.0614,1.05026,1263.04,376460840,0,-1,-1
2017-03-06,2378.800049,2367.97998,3232700000,20986.429688,20912.109375,266620000,1.06401,1.05748,1270.24875,133470791.667,0,-1,-1
2017-03-07,2375.120117,2365.51001,3518390000,20970.539063,20901.259766,274630000,1.06025,1.05584,1253.0775,193957000,0,-1,-1
2017-03-08,2373.090088,2361.01001,3812100000,20951.439453,20835.580078,296780000,1.0574,1.05351,1202.11291667,315098833.333,0,-1,-1
2017-03-09,2369.080078,2354.540039,3716340000,20900.570313,20777.160156,275960000,1.06153,1.05253,1169.66875,288507041.667,0,-1,-1
2017-03-10,2376.860107,2363.040039,3432950000,20940.289063,20827.660156,315430000,1.06991,1.05728,1206.785,234889916.667,0,-1,-1
2017-03-13,2374.419922,2368.52002,3133900000,20926.060547,20845.710938,289260000,1.07143,1.06534,1224.88458333,287923083.333,0,-1,-1
2017-03-14,2368.550049,2358.179932,3172630000,20874,20786.310547,246820000,1.06626,1.06044,1233.08416667,323471375,0,-1,-1
2017-03-15,2390.01001,2368.939941,3906840000,20977.470703,20859.599609,306590000,1.07187,1.06047,1244.76708333,235846125,0,-1,-1
2017-03-16,2388.100098,2377.179932,3365660000,21000.109375,20893.5,264360000,1.07671,1.07057,1235.20166667,431790875,0,-1,-1
2017-03-17,2385.709961,2377.639893,5178040000,20980.509766,20911.070313,535280000,1.07826,1.07277,1154.21416667,700063041.667,0,-1,-1
2017-03-20,2379.550049,2369.659912,3054930000,20955.449219,20885.699219,253610000,1.07774,1.07254,1052.92833333,361362291.667,0,-1,-1
2017-03-21,2381.929932,2341.899902,4265590000,20970.039063,20653.259766,369320000,1.08192,1.07195,1086.05833333,299014791.667,0,-1,-1
2017-03-22,2351.810059,2336.449951,3572730000,20686.210938,20578.949219,325090000,1.08246,1.07762,1076.81541667,342279125,0,-1,-1
2017-03-23,2358.919922,2342.129883,3260600000,20757.890625,20618.619141,280050000,1.08049,1.07681,1044.34916667,327078916.667,0,-1,-1
2017-03-24,2356.219971,2335.73999,2975130000,20718.330078,20529.669922,292980000,1.0816,1.07605,1010.27166667,307660833.333,0,-1,-1
2017-03-27,2344.899902,2322.25,3240230000,20578.460938,20412.800781,269380000,1.09062,1.08192,997.136208333,318783958.333,0,-1,-1
2017-03-28,2363.780029,2337.629883,3367780000,20735.609375,20520.099609,299670000,1.08726,1.0799,1046.40791667,374371458.333,0,-1,-1
2017-03-29,2363.360107,2352.939941,3106940000,20684.730469,20625.029297,238320000,1.08265,1.07401,1036.94083333,330139166.667,0,-1,-1
2017-03-30,2370.419922,2358.580078,3158420000,20753.779297,20643.599609,270900000,1.0769,1.06814,1034.34291667,288706708.333,0,-1,-1
2017-03-31,2370.350098,2362.600098,3354110000,20722.589844,20660.679688,303770000,1.07018,1.06703,1043.33083333,397351666.667,0,-1,-1
2017-04-03,2365.870117,2344.72998,3416400000,20692.339844,20517.820313,285670000,1.0682,1.06424,1127.5775,620207041.667,0,-1,-1
2017-04-04,2360.530029,2350.719971,3206240000,20701.289063,20605.300781,237390000,1.06744,1.06359,1141.80916667,521693500,0,-1,-1
2017-04-05,2378.360107,2350.52002,3770520000,20887.5,20639.550781,284980000,1.0689,1.06356,1125.68458333,382733000,0,-1,-1
2017-04-06,2364.159912,2348.899902,3201920000,20746.460938,20612.169922,251720000,1.0684,1.06291,1146.56125,445024166.667,0,-1,-1
2017-04-07,2363.76001,2350.73999,3053150000,20726.070313,20606.949219,219730000,1.06672,1.05808,1176.4975,451418416.667,0,-1,-1
2017-04-10,2366.370117,2351.5,2785410000,20750.330078,20614.859375,230480000,1.06066,1.05698,1186.7425,241150583.333,0,-1,-1
2017-04-11,2355.219971,2337.25,3117420000,20660.029297,20512.560547,255120000,1.06301,1.05788,1193.89458333,213349166.667,0,-1,-1
2017-04-12,2352.719971,2341.179932,3196950000,20642.539063,20553.029297,267670000,1.06584,1.05889,1202.42666667,229042583.333,0,-1,-1
2017-04-13,2348.26001,2328.949951,3143890000,20612.269531,20453.25,235810000,1.06776,1.06092,1185.92166667,321258708.333,0,-1,-1
2017-04-17,2349.139893,2332.51001,2824710000,20644.410156,20484.75,229240000,1.06704,1.06032,1181.24041667,201441958.333,0,-1,-1
2017-04-18,2348.350098,2334.540039,3269840000,20600.119141,20462.279297,263180000,1.07357,1.06376,1206.9825,268884333.333,0,-1,-1
